From	To	Species	Gene Name
PGK1	103737825	Nannospalax galili	phosphoglycerate kinase 1(Pgk1)
PGK1	103302152	Eptesicus fuscus	phosphoglycerate kinase 1(PGK1)
PGK1	108794570	Nanorana parkeri	phosphoglycerate kinase 1(PGK1)
PGK1	104388379	Chaetura pelagica	phosphoglycerate kinase 1(PGK1)
PGK1	102091279	Columba livia	phosphoglycerate kinase 1(PGK1)
PGK1	4839476	Scheffersomyces stipitis CBS 6054	3-phosphoglycerate kinase(PGK1)
PGK1	103600066	Galeopterus variegatus	phosphoglycerate kinase 1(PGK1)
PGK1	104637149	Balearica regulorum gibbericeps	phosphoglycerate kinase 1(PGK1)
PGK1	100657075	Loxodonta africana	phosphoglycerate kinase 1(PGK1)
PGK1	101632424	Condylura cristata	phosphoglycerate kinase 1(PGK1)
PGK1	103019772	Balaenoptera acutorostrata scammoni	phosphoglycerate kinase 1(PGK1)
PGK1	102185725	Capra hircus	phosphoglycerate kinase 1(PGK1)
PGK1	395833	Gallus gallus	phosphoglycerate kinase 1(PGK1)
PGK1	103808174	Acanthisitta chloris	phosphoglycerate kinase 1(PGK1)
PGK1	100988066	Pan paniscus	phosphoglycerate kinase 1(PGK1)
PGK1	104363623	Tyto alba	phosphoglycerate kinase 1(PGK1)
PGK1	104575403	Tinamus guttatus	phosphoglycerate kinase 1(PGK1)
PGK1	102531208	Vicugna pacos	phosphoglycerate kinase 1(PGK1)
PGK1	105402660	Aquila chrysaetos canadensis	phosphoglycerate kinase 1(PGK1)
PGK1	101714377	Heterocephalus glaber	phosphoglycerate kinase 1(Pgk1)
PGK1	105902088	Clupea harengus	phosphoglycerate kinase 1(pgk1)
PGK1	107966206	Pan troglodytes	phosphoglycerate kinase 1(PGK1)
PGK1	104339109	Opisthocomus hoazin	phosphoglycerate kinase 1(PGK1)
PGK1	103816345	Serinus canaria	phosphoglycerate kinase 1(PGK1)
PGK1	108431298	Pygocentrus nattereri	phosphoglycerate kinase 1(pgk1)
PGK1	5230	Homo sapiens	phosphoglycerate kinase 1(PGK1)
PGK1	105464297	Macaca nemestrina	phosphoglycerate kinase 1(PGK1)
PGK1	105995238	Dipodomys ordii	phosphoglycerate kinase 1(Pgk1)
PGK1	100553337	Anolis carolinensis	phosphoglycerate kinase 1(pgk1)
PGK1	105530780	Mandrillus leucophaeus	phosphoglycerate kinase 1(PGK1)
PGK1	100701118	Oreochromis niloticus	phosphoglycerate kinase 1(pgk1)
PGK1	104491587	Buceros rhinoceros silvestris	phosphoglycerate kinase 1(PGK1)
PGK1	101655328	Echinops telfairi	phosphoglycerate kinase 1(PGK1)
PGK1	103460002	Poecilia reticulata	phosphoglycerate kinase 1(pgk1)
PGK1	8048748	Candida dubliniensis CD36	phosphoglycerate kinase, putative(PGK1)
PGK1	104411970	Nestor notabilis	phosphoglycerate kinase 1(PGK1)
PGK1	108278745	Ictalurus punctatus	phosphoglycerate kinase 1(pgk1)
PGK1	103131183	Poecilia formosa	phosphoglycerate kinase 1(pgk1)
PGK1	104315417	Haliaeetus albicilla	phosphoglycerate kinase 1(PGK1)
PGK1	103063335	Python bivittatus	phosphoglycerate kinase 1(PGK1)
PGK1	104167820	Cariama cristata	phosphoglycerate kinase 1(PGK1)
PGK1	107532767	Miniopterus natalensis	phosphoglycerate kinase 1(PGK1)
PGK1	18483974	Trichoderma reesei QM6a	phosphoglycerate kinase(pgk1)
PGK1	103267707	UNKNOWN	phosphoglycerate kinase 1(PGK1)
PGK1	104874325	Fukomys damarensis	phosphoglycerate kinase 1(Pgk1)
PGK1	105719608	Aotus nancymaae	phosphoglycerate kinase 1(PGK1)
PGK1	101534570	Ochotona princeps	phosphoglycerate kinase 1(PGK1)
PGK1	2539764	Schizosaccharomyces pombe 972h-	phosphoglycerate kinase Pgk1 (predicted)(pgk1)
PGK1	106489311	Apteryx australis mantelli	phosphoglycerate kinase 1(PGK1)
PGK1	102879510	Pteropus alecto	phosphoglycerate kinase 1(PGK1)
PGK1	102571927	Alligator mississippiensis	phosphoglycerate kinase 1(PGK1)
PGK1	104506735	Eurypyga helias	phosphoglycerate kinase 1(PGK1)
PGK1	102518336	Camelus ferus	phosphoglycerate kinase 1(PGK1)
PGK1	5725034	Chlamydomonas reinhardtii	phosphoglycerate kinase(PGK1)
PGK1	105866150	Microcebus murinus	phosphoglycerate kinase 1(PGK1)
PGK1	100586287	Nomascus leucogenys	phosphoglycerate kinase 1(PGK1)
PGK1	103232238	Chlorocebus sabaeus	phosphoglycerate kinase 1(PGK1)
PGK1	101478612	Maylandia zebra	phosphoglycerate kinase 1(pgk1)
PGK1	102392495	Bubalus bubalis	phosphoglycerate kinase 1(PGK1)
PGK1	7451667	Thalassiosira pseudonana CCMP1335	phosphoglycerate kinase(PGK1)
PGK1	102752705	Myotis davidii	phosphoglycerate kinase 1(PGK1)
PGK1	104023575	Nipponia nippon	phosphoglycerate kinase 1(PGK1)
PGK1	101047185	Saimiri boliviensis	phosphoglycerate kinase 1(PGK1)
PGK1	106532907	Austrofundulus limnaeus	phosphoglycerate kinase 1(pgk1)
PGK1	105939337	Fundulus heteroclitus	phosphoglycerate kinase 1(pgk1)
PGK1	102061437	Zonotrichia albicollis	phosphoglycerate kinase 1(PGK1)
PGK1	103675821	Ursus maritimus	phosphoglycerate kinase 1(PGK1)
PGK1	107312766	Coturnix japonica	phosphoglycerate kinase 1(PGK1)
PGK1	102903975	Peromyscus maniculatus bairdii	phosphoglycerate kinase 1(Pgk1)
PGK1	850370	Saccharomyces cerevisiae S288C	phosphoglycerate kinase(PGK1)
PGK1	820461	Arabidopsis thaliana	phosphoglycerate kinase 1(PGK1)
PGK1	17275556	Emiliania huxleyi CCMP1516	phosphoglycerate kinase(PGK1)
PGK1	100722820	Cavia porcellus	phosphoglycerate kinase 1(Pgk1)
PGK1	104832706	Haliaeetus leucocephalus	phosphoglycerate kinase 1(PGK1)
PGK1	480964	Canis lupus familiaris	phosphoglycerate kinase 1(PGK1)
PGK1	104691621	Corvus cornix cornix	phosphoglycerate kinase 1(PGK1)
PGK1	104550891	Colius striatus	phosphoglycerate kinase 1(PGK1)
PGK1	104540841	Mesitornis unicolor	phosphoglycerate kinase 1(PGK1)
PGK1	104150959	Struthio camelus australis	phosphoglycerate kinase 1(PGK1)
PGK1	100012797	Monodelphis domestica	phosphoglycerate kinase 1(PGK1)
PGK1	103123683	Erinaceus europaeus	phosphoglycerate kinase 1(PGK1)
PGK1	101433118	Dasypus novemcinctus	phosphoglycerate kinase 1(PGK1)
PGK1	103037587	Astyanax mexicanus	phosphoglycerate kinase 1(pgk1)
PGK1	102106128	Pseudopodoces humilis	phosphoglycerate kinase 1(PGK1)
PGK1	107160940	Marmota marmota marmota	phosphoglycerate kinase 1(Pgk1)
PGK1	380062	Xenopus laevis	phosphoglycerate kinase 1(pgk1)
PGK1	102452961	Pelodiscus sinensis	phosphoglycerate kinase 1(PGK1)
PGK1	102238256	Xiphophorus maculatus	phosphoglycerate kinase 1(pgk1)
PGK1	101829392	Mesocricetus auratus	phosphoglycerate kinase 1(Pgk1)
PGK1	104478602	Chlamydotis macqueenii	phosphoglycerate kinase 1(PGK1)
PGK1	104682775	Rhinopithecus roxellana	phosphoglycerate kinase 1(PGK1)
PGK1	100075854	Ornithorhynchus anatinus	phosphoglycerate kinase 1(PGK1)
PGK1	100343505	Oryctolagus cuniculus	phosphoglycerate kinase 1(PGK1)
PGK1	101961064	Ictidomys tridecemlineatus	phosphoglycerate kinase 1(Pgk1)
PGK1	407608	Sus scrofa	phosphoglycerate kinase 1(PGK1)
PGK1	102331683	Pantholops hodgsonii	phosphoglycerate kinase 1(PGK1)
PGK1	107125724	Gekko japonicus	phosphoglycerate kinase 1(PGK1)
PGK1	101581287	Octodon degus	phosphoglycerate kinase 1(Pgk1)
PGK1	102693017	Lepisosteus oculatus	phosphoglycerate kinase 1(pgk1)
PGK1	102276694	Bos mutus	phosphoglycerate kinase 1(PGK1)
PGK1	106895647	Calidris pugnax	phosphoglycerate kinase 1(PGK1)
PGK1	105308881	Pteropus vampyrus	phosphoglycerate kinase 1(PGK1)
PGK1	107386687	Nothobranchius furzeri	phosphoglycerate kinase 1(pgk1)
PGK1	103394927	Cynoglossus semilaevis	phosphoglycerate kinase 1(pgk1)
PGK1	104525788	Caprimulgus carolinensis	phosphoglycerate kinase 1(PGK1)
PGK1	101794991	Anas platyrhynchos	phosphoglycerate kinase 1(PGK1)
PGK1	101945923	Chrysemys picta	phosphoglycerate kinase 1(PGK1)
PGK1	101670621	Mustela putorius furo	phosphoglycerate kinase 1(PGK1)
PGK1	108404779	Manis javanica	phosphoglycerate kinase 1(PGK1)
PGK1	104278252	Apaloderma vittatum	phosphoglycerate kinase 1(PGK1)
PGK1	102347446	Latimeria chalumnae	phosphoglycerate kinase 1(PGK1)
PGK1	102750852	Leptonychotes weddellii	phosphoglycerate kinase 1(PGK1)
PGK1	106853747	Sturnus vulgaris	phosphoglycerate kinase 1(PGK1)
PGK1	101997331	Microtus ochrogaster	phosphoglycerate kinase 1(Pgk1)
PGK1	549299	Xenopus tropicalis	phosphoglycerate kinase 1(pgk1)
PGK1	103920167	Pygoscelis adeliae	phosphoglycerate kinase 1(PGK1)
PGK1	473678	Pan troglodytes	phosphoglycerate kinase 1(PGK1)
PGK1	101149529	Gorilla gorilla	phosphoglycerate kinase 1(PGK1)
PGK1	406696	Danio rerio	phosphoglycerate kinase 1(pgk1)
PGK1	106986091	Acinonyx jubatus	phosphoglycerate kinase 1(PGK1)
PGK1	101066505	Takifugu rubripes	phosphoglycerate kinase 1(pgk1)
PGK1	107587214	Sinocyclocheilus grahami	phosphoglycerate kinase 1(pgk1)
PGK1	102468435	Tupaia chinensis	phosphoglycerate kinase 1(PGK1)
PGK1	104254784	Gavia stellata	phosphoglycerate kinase 1(PGK1)
PGK1	104135704	Egretta garzetta	phosphoglycerate kinase 1(PGK1)
PGK1	104042422	Phalacrocorax carbo	phosphoglycerate kinase 1(PGK1)
PRO2	854501	Saccharomyces cerevisiae S288C	glutamate-5-semialdehyde dehydrogenase(PRO2)
PRO2	3638532	Candida albicans SC5314	gamma-glutamyl phosphate reductase(PRO2)
PRO2	547670	Glycine max	profilin(PRO2)
PRO2	544281	Solanum lycopersicum	delta 1-pyrroline-5-carboxylate synthetase(PRO2)
PRO2	3638620	Candida albicans SC5314	gamma-glutamyl phosphate reductase(PRO2)
PRO2	4852026	Scheffersomyces stipitis CBS 6054	Glutamate 5-kinase (Gamma-glutamyl kinase) (GK)(PRO2)
PRO2	543315	Triticum aestivum	profilin(PRO2)
BNA2	4837055	Scheffersomyces stipitis CBS 6054	tryptophan 2,3- dioxygenase(BNA2)
BNA2	18874590	Spathaspora passalidarum NRRL Y-27907	tryptophan 2,3 dioxygenase(BNA2)
BNA2	853541	Saccharomyces cerevisiae S288C	dioxygenase BNA2(BNA2)
